Price,VehicleType,YearOfVehicleRegistration,GearBoxType,PowerOfTheEngine,ModelOfTheVehicle,DistranceTravelled,TypeOfTheFuelUsed,BrandOfTheVehicle,IsDamageRepaired
3850.0,2,4,1,94,20,0.31034482758620685,6,33,0
5999.0,0,7,1,140,160,1.0,1,36,0
5990.0,6,7,0,150,54,1.0,1,20,0
4000.0,6,5,1,150,1,1.0,1,0,0
12950.0,0,5,1,200,24,0.8275862068965517,6,1,0
3600.0,6,0,0,129,54,1.0,6,20,0
4450.0,0,3,1,131,160,1.0,1,36,0
10500.0,3,10,1,146,12,0.5172413793103449,6,19,0
17250.0,6,13,1,122,23,0.1724137931034483,6,1,0
9500.0,6,0,1,116,90,1.0,1,20,1
8500.0,6,6,0,163,24,0.6551724137931034,6,1,0
2690.0,0,2,1,179,24,1.0,1,1,0
5899.0,0,7,1,105,37,0.8275862068965517,6,24,0
31830.0,3,15,0,163,222,0.3793103448275862,1,20,0
2850.0,2,3,1,116,9,1.0,6,2,0
23750.0,6,14,1,150,23,0.44827586206896547,1,1,0
12700.0,6,9,0,224,54,1.0,1,20,0
13999.0,0,8,1,170,54,1.0,1,20,0
5050.0,2,11,0,61,99,0.3793103448275862,6,32,0
8200.0,0,4,1,170,9,0.5172413793103449,6,2,0
1200.0,0,3,1,150,128,1.0,1,27,1
15200.0,6,10,0,156,54,0.3793103448275862,6,20,0
3350.0,2,8,1,77,20,0.6551724137931034,6,9,0
3490.0,0,3,0,114,160,1.0,1,36,0
15555.0,0,11,0,150,39,0.5862068965517242,1,35,0
8499.0,5,11,1,105,23,1.0,1,1,0
18999.0,0,8,1,211,24,0.8275862068965517,6,1,0
13999.0,2,14,1,90,163,0.24137931034482757,1,36,0
7700.0,0,6,0,131,24,1.0,6,1,0
6000.0,3,5,0,116,189,1.0,1,36,0
2399.0,6,3,1,98,8,0.8275862068965517,6,19,0
2700.0,2,0,1,125,28,1.0,6,20,0
4200.0,6,2,1,143,54,1.0,6,20,0
5999.0,3,6,1,150,221,1.0,1,20,0
6000.0,6,9,0,177,9,0.8275862068965517,1,2,0
2300.0,6,16,0,115,9,1.0,6,2,0
11900.0,3,14,1,101,43,0.10344827586206896,6,10,0
7500.0,6,6,1,116,5,0.8275862068965517,6,2,0
5800.0,0,3,1,204,9,1.0,1,2,0
3999.0,0,8,1,101,70,0.6551724137931034,6,27,0
1599.0,6,0,1,105,9,1.0,6,2,0
12500.0,4,3,0,218,192,0.8275862068965517,6,20,0
14550.0,3,11,0,140,207,0.3793103448275862,6,36,0
2400.0,6,2,1,114,164,0.8275862068965517,6,23,0
7199.0,0,5,0,231,13,1.0,1,2,0
1500.0,6,0,1,155,2,1.0,6,0,0
11800.0,2,11,1,98,156,0.1724137931034483,6,21,0
27300.0,7,14,1,177,167,0.1724137931034483,1,1,0
1250.0,2,0,1,58,30,1.0,6,24,0
2700.0,0,4,1,101,96,1.0,1,10,0
1499.0,3,0,1,132,20,1.0,6,25,1
2200.0,6,0,1,163,54,1.0,6,20,0
3300.0,0,7,1,109,96,1.0,1,10,0
3250.0,6,6,1,230,219,1.0,6,24,0
3299.0,0,3,1,143,9,1.0,6,2,0
6350.0,7,7,1,141,211,1.0,6,12,0
7750.0,0,6,0,180,26,1.0,1,1,0
25000.0,6,13,0,140,109,0.24137931034482757,6,36,0
6950.0,6,5,0,170,13,1.0,4,2,0
13500.0,0,9,0,150,39,0.24137931034482757,1,35,0
